notarealmovie, fakegenre, fakedirector, fakeactor
Battlefield Earth,Action,Roger Christian,Richard Tyson
Battleship,Action,Peter Berg,Liam Neeson
Be Cool,Comedy,F. Gary Gray,Dwayne Johnson
Be Kind Rewind,Comedy,Michel Gondry,Quinton Aaron
Beastly,Drama,Daniel Barnz,Alex Pettyfer
Beastmaster 2: Through the Portal of Time,Action,Sylvio Tabet,Michael Berryman
Beasts of the Southern Wild,Drama,Benh Zeitlin,Quvenzhané Wallis
Beautiful Creatures,Drama,Richard LaGravenese,Alden Ehrenreich
Beauty Shop,Comedy,Bille Woodruff,Alfre Woodard
Beavis and Butt-Head Do America,Adventure,Mike Judge,Bruce Willis
Because I Said So,Comedy,Michael Lehmann,Colin Ferguson
Because of Winn-Dixie,Comedy,Wayne Wang,Cicely Tyson
Becoming Jane,Biography,Julian Jarrold,Anne Hathaway
Bedazzled,Comedy,Harold Ramis,Brendan Fraser
Bedtime Stories,Comedy,Adam Shankman,Adam Sandler
Bee Movie,Adventure,Steve Hickner,Matthew Broderick
Beer League,Comedy,Frank Sebastiano,Joe Lo Truglio
Beerfest,Comedy,Jay Chandrasekhar,Chris Moss
Beetlejuice,Comedy,Tim Burton,Catherine O'Hara
Before I Go to Sleep,Drama,Rowan Joffe,Colin Firth
Before Midnight,Drama,Richard Linklater,Seamus Davey-Fitzpatrick
Before Sunrise,Drama,Richard Linklater,Hanno Pöschl
Before Sunset,Drama,Richard Linklater,Vernon Dobtcheff
Begin Again,Drama,John Carney,James Corden
Beginners,Comedy,Mike Mills,Goran Visnjic
Behind Enemy Lines,Action,John Moore,Joaquim de Almeida
Being John Malkovich,Comedy,Spike Jonze,Willie Garson
Being Julia,Comedy,István Szabó,Miriam Margolyes
Bella,Drama,Alejandro Monteverde,Armando Riesco
Beloved,Drama,Jonathan Demme,Oprah Winfrey
Below Zero,Thriller,Justin Thomas Ostensen,Michael Berryman
Bend It Like Beckham,Comedy,Gurinder Chadha,Archie Panjabi
Bending Steel,Documentary,Dave Carroll,Chris 'Wonder' Schoeck
Beneath Hill 60,Drama,Jeremy Sims,Harrison Gilbertson
Beneath the Planet of the Apes,Action,Ted Post,Linda Harrison
Ben-Hur,Adventure,Timur Bekmambetov,Morgan Freeman
Ben-Hur,Adventure,Timur Bekmambetov,Morgan Freeman
Ben-Hur,Adventure,Timur Bekmambetov,Morgan Freeman
Benji,Adventure,Joe Camp,Frances Bavier
Beowulf,Action,Robert Zemeckis,Robin Wright
Bernie,Comedy,Richard Linklater,Matthew McConaughey
Best in Show,Comedy,Christopher Guest,John Michael Higgins
Better Luck Tomorrow,Crime,Justin Lin,Parry Shen
Beverly Hills Chihuahua,Adventure,Raja Gosnell,Jamie Lee Curtis
Beverly Hills Cop,Action,Martin Brest,Judge Reinhold
Beverly Hills Cop II,Action,Tony Scott,Dean Stockwell
Beyond Borders,Adventure,Martin Campbell,Angelina Jolie Pitt
Beyond the Black Rainbow,SciFi,Panos Cosmatos,Chris Gauthier
Beyond the Lights,Drama,Gina Prince-Bythewood,Minnie Driver
Beyond the Mat,Biography,Barry W. Blaustein,Terry Funk
Beyond the Sea,Biography,Kevin Spacey,Kevin Spacey
Beyond the Valley of the Dolls,Comedy,Russ Meyer,Charles Napier
B-Girl,Drama,Emily Dell,Aimee Garcia
Bicentennial Man,Comedy,Chris Columbus,Robin Williams
Big,Comedy,Penny Marshall,Tom Hanks
Big Daddy,Comedy,Dennis Dugan,Steve Buscemi
Big Eyes,Biography,Tim Burton,Christoph Waltz
Big Fat Liar,Adventure,Shawn Levy,Frankie Muniz
Big Fat Liar,Adventure,Shawn Levy,Frankie Muniz
Big Fish,Adventure,Tim Burton,Steve Buscemi
Big Hero 6,Action,Don Hall,Damon Wayans Jr.
Big Miracle,Biography,Ken Kwapis,Ted Danson
Big Momma's House,Action,Raja Gosnell,Nia Long
Big Momma's House 2,Comedy,John Whitesell,Chloë Grace Moretz
Big Mommas: Like Father Like Son,Action,John Whitesell,Brandon T. Jackson
Big Trouble,Comedy,Barry Sonnenfeld,Zooey Deschanel
Big Trouble in Little China,Action,John Carpenter,Victor Wong
Bill & Ted's Bogus Journey,Adventure,Peter Hewitt,Keanu Reeves
Bill & Ted's Excellent Adventure,Adventure,Stephen Herek,Keanu Reeves
Billy Elliot,Drama,Stephen Daldry,Julie Walters
Birdman or (The Unexpected Virtue of Ignorance),Comedy,Alejandro G. Iñárritu,Emma Stone
Birth,Drama,Jonathan Glazer,Cameron Bright
Birthday Girl,Comedy,Jez Butterworth,Mark Gatiss
Biutiful,Drama,Alejandro G. Iñárritu,Maricel Álvarez
Bizarre,Drama,Étienne Faure,Rumi Missabu
Black Book,Drama,Paul Verhoeven,Michiel Huisman
Black Christmas,Horror,Glen Morgan,Oliver Hudson
Black Hawk Down,Drama,Ridley Scott,Ioan Gruffudd
Black Knight,Adventure,Gil Junger,Tom Wilkinson
Black Mass,Biography,Scott Cooper,Johnny Depp
Black Nativity,Drama,Kasi Lemmons,Jennifer Hudson
Black November,Action,Jeta Amata,Akon
Black or White,Drama,Mike Binder,Jennifer Ehle
Black Rain,Action,Ridley Scott,Stephen Root
Black Rock,Horror,Katie Aselton,Katie Aselton
Black Snake Moan,Drama,Craig Brewer,Justin Timberlake
Black Swan,Drama,Darren Aronofsky,Natalie Portman
Black Water Transit,Crime,Tony Kaye,Bill Cobbs
Blackhat,Action,Michael Mann,Chris Hemsworth
Blackthorn,Action,Mateo Gil,Sam Shepard
Blade,Action,Stephen Norrington,Sanaa Lathan
Blade II,Action,Guillermo del Toro,Norman Reedus
Blade Runner,SciFi,Ridley Scott,Harrison Ford
Blade: Trinity,Action,David S. Goyer,Ryan Reynolds
Blades of Glory,Comedy,Josh Gordon,Will Ferrell
Blast from the Past,Comedy,Hugh Wilson,Brendan Fraser
Blazing Saddles,Comedy,Mel Brooks,Madeline Kahn
Bled,Horror,Christopher Hutson,Dichen Lachman
Bleeding Hearts,Horror,Dylan Bank,Seregon O'Dassey
Blended,Comedy,Frank Coraci,Bella Thorne
Bless the Child,Crime,Chuck Russell,Rufus Sewell
Blindness,Drama,Fernando Meirelles,Don McKellar
Blonde Ambition,Comedy,Scott Marshall,Drew Fuller
Blood and Chocolate,Drama,Katja von Garnier,Olivier Martinez
Blood and Wine,Crime,Bob Rafelson,Harold Perrineau
Blood Diamond,Adventure,Edward Zwick,Leonardo DiCaprio
Blood Done Sign My Name,Drama,Jeb Stuart,Ricky Schroder
Blood In Blood Out,Crime,Taylor Hackford,Delroy Lindo
Blood Ties,Crime,Guillaume Canet,Mila Kunis
Blood Work,Action,Clint Eastwood,Clint Eastwood
BloodRayne,Action,Uwe Boll,Meat Loaf
Bloodsport,Action,Newt Arnold,Bolo Yeung
Bloody Sunday,Drama,Paul Greengrass,James Nesbitt
Blow,Biography,Ted Demme,Johnny Depp
Blow Out,Mystery,Brian De Palma,Nancy Allen
Blue Car,Drama,Karen Moncrieff,Frances Fisher
Blue Crush,Drama,John Stockwell,Faizon Love
Blue Jasmine,Drama,Woody Allen,Sally Hawkins
Blue Like Jazz,Comedy,Steve Taylor,Jason Marsden
Blue Ruin,Crime,Jeremy Saulnier,Devin Ratray
Blue Streak,Action,Les Mayfield,Peter Greene
Blue Valentine,Drama,Derek Cianfrance,Ryan Gosling
Boat Trip,Comedy,Mort Nathan,Vivica A. Fox
Bobby,Drama,Emilio Estevez,Anthony Hopkins
Bobby Jones: Stroke of Genius,Biography,Rowdy Herrington,Aidan Quinn
Body Double,Mystery,Brian De Palma,Melanie Griffith
Body of Lies,Action,Ridley Scott,Leonardo DiCaprio
Bodyguards and Assassins,Action,Teddy Chan,Bingbing Fan
Bogus,Comedy,Norman Jewison,Haley Joel Osment
Boiler Room,Crime,Ben Younger,Vin Diesel
Bolt,Adventure,Byron Howard,Chloë Grace Moretz
Bon Cop Bad Cop,Action,Erik Canuel,Colm Feore
Bon voyage,Comedy,Jean-Paul Rappeneau,Isabelle Adjani
Boogeyman,Drama,Stephen Kay,Barry Watson
Boogie Nights,Drama,Paul Thomas Anderson,Don Cheadle
Book of Shadows: Blair Witch 2,Adventure,Joe Berlinger,Kim Director
Boom Town,Adventure,Jack Conway,Hedy Lamarr
Boomerang,Comedy,Reginald Hudlin,John Witherspoon
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,Larry Charles,Luenell
Born of War,Action,Vicky Jewson,James Frain
Born on the Fourth of July,Biography,Oliver Stone,Tom Cruise
Born to Fly: Elizabeth Streb vs. Gravity,Action,Catherine Gund,Elizabeth Streb
Bottle Rocket,Comedy,Wes Anderson,Andrew Wilson
Bottle Shock,Comedy,Randall Miller,Alan Rickman
Bound,Crime,Lana Wachowski,Christopher Meloni
Bowfinger,Comedy,Frank Oz,Robert Downey Jr.
Bowling for Columbine,Crime,Michael Moore,Michael Moore
Boyhood,Drama,Richard Linklater,Ellar Coltrane
Boynton Beach Club,Comedy,Susan Seidelman,Dyan Cannon
Boys and Girls,Comedy,Robert Iscove,Alyson Hannigan
Boys Don't Cry,Biography,Kimberly Peirce,Alicia Goranson
Boyz n the Hood,Crime,John Singleton,John Cothran
Bram Stoker's Dracula,Fantasy,Francis Ford Coppola,Keanu Reeves
Bran Nue Dae,Comedy,Rachel Perkins,Deborah Mailman
Brave,Adventure,Mark Andrews,Kelly Macdonald
Brave New Girl,Drama,Bobby Roth,Virginia Madsen
Braveheart,Biography,Mel Gibson,Mhairi Calvey
Brazil,Drama,Terry Gilliam,Robert De Niro
Breakdown,Action,Jonathan Mostow,Kathleen Quinlan
Breakfast of Champions,Comedy,Alan Rudolph,Bruce Willis
Breakin' All the Rules,Comedy,Daniel Taplitz,Jennifer Esposito
Breaking Upwards,Romance,Daryl Wein,Zoe Lister-Jones
Brick Lane,Drama,Sarah Gavron,Satish Kaushik
Brick Mansions,Action,Camille Delamarre,Paul Walker
Bride & Prejudice,Comedy,Gurinder Chadha,Indira Varma
Bride of Chucky,Comedy,Ronny Yu,Alexis Arquette
Bride Wars,Comedy,Gary Winick,Anne Hathaway
Bridesmaids,Comedy,Paul Feig,Matt Lucas
Bridge of Spies,Drama,Steven Spielberg,Tom Hanks
Bridge to Terabithia,Adventure,Gabor Csupo,Josh Hutcherson
Bridget Jones's Diary,Comedy,Sharon Maguire,Colin Firth
Brigham City,Crime,Richard Dutcher,Wilford Brimley
Bright Lights Big City,Drama,James Bridges,Dianne Wiest
Bright Star,Biography,Jane Campion,Abbie Cornish
Brighton Rock,Crime,Rowan Joffe,Sam Riley
Bring It On,Comedy,Peyton Reed,Kirsten Dunst
Bringing Down the House,Comedy,Adam Shankman,Angus T. Jones
Bringing Out the Dead,Drama,Martin Scorsese,Nicolas Cage
Brokeback Mountain,Drama,Ang Lee,Jake Gyllenhaal
Brokedown Palace,Drama,Jonathan Kaplan,John Doe
Broken Arrow,Action,John Woo,Delroy Lindo
Broken City,Crime,Allen Hughes,Alona Tal
Broken Horses,Action,Vidhu Vinod Chopra,María Valverde
Broken Vessels,Drama,Scott Ziehl,William Smith
Bronson,Action,Nicolas Winding Refn,Tom Hardy
Brooklyn,Drama,John Crowley,Julie Walters
Brooklyn Rules,Crime,Michael Corrente,Jerry Ferrara
Brooklyn's Finest,Crime,Antoine Fuqua,Don Cheadle
Brother,Crime,Takeshi Kitano,Omar Epps
Brotherly Love,Drama,Jamal Hill,Logan Browning
Brothers,Drama,Jim Sheridan,Natalie Portman
Brothers,Drama,Jim Sheridan,Natalie Portman
Brown Sugar,Comedy,Rick Famuyiwa,Boris Kodjoe
Bruce Almighty,Comedy,Tom Shadyac,Morgan Freeman
Brüno,Comedy,Larry Charles,Bono
Bubba Ho-Tep,Comedy,Don Coscarelli,Daniel Roebuck
Bubble Boy,Adventure,Blair Hayes,Jake Gyllenhaal
Bucky Larson: Born to Be a Star,Comedy,Tom Brady,Don Johnson
Buen Día Ramón,Drama,Jorge Ramírez Suárez,Hector Kotsifakis
Buffalo '66,Comedy,Vincent Gallo,Anjelica Huston
Buffalo Soldiers,Comedy,Gregor Jordan,Dean Stockwell
Bullet to the Head,Action,Walter Hill,Sylvester Stallone
Bulletproof Monk,Action,Paul Hunter,Jaime King
Bullets Over Broadway,Comedy,Woody Allen,Jim Broadbent
Bully,Biography,Larry Clark,Kelli Garner
Bulworth,Comedy,Warren Beatty,Warren Beatty
Buried,Drama,Rodrigo Cortés,Ryan Reynolds
Burlesque,Drama,Steve Antin,Eric Dane
Burn,Documentary,Tom Putnam,Brendan Doogie Milewski
Burn After Reading,Comedy,Ethan Coen,J.K. Simmons
Burnt,Comedy,John Wells,Bradley Cooper
But I'm a Cheerleader,Comedy,Jamie Babbit,Natasha Lyonne
Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,Katharine Ross
Butterfly,Crime,Matt Cimber,Stacy Keach
Butterfly Girl,Documentary,Cary Bell,Abigail Evans
By the Sea,Drama,Angelina Jolie Pitt,Brad Pitt
C.H.U.D.,Horror,Douglas Cheek,Daniel Stern
Ca$h,Comedy,Stephen Milburn Anderson,Chris Hemsworth
Cabin Fever,Horror,Travis Zariwny,Dustin Ingram
Caddyshack,Comedy,Harold Ramis,Bill Murray
Cadillac Records,Biography,Darnell Martin,Cedric the Entertainer
Call + Response,Documentary,Justin Dillon,Matisyahu
Camping sauvage,Drama,Christophe Ali,Denis Lavant
Can't Hardly Wait,Comedy,Harry Elfont,Ethan Embry
Can't Stop the Music,Biography,Nancy Walker,Steve Guttenberg
Cape Fear,Crime,Martin Scorsese,Robert De Niro
Capitalism: A Love Story,Crime,Michael Moore,Ronald Reagan
Capote,Biography,Bennett Miller,Philip Seymour Hoffman
Capricorn One,Action,Peter Hyams,David Huddleston
Captain Alatriste: The Spanish Musketeer,Adventure,Agustín Díaz Yanes,Viggo Mortensen
Captain America: Civil War,Action,Anthony Russo,Robert Downey Jr.
Captain America: The First Avenger,Action,Joe Johnston,Chris Evans
Captain America: The Winter Soldier,Action,Anthony Russo,Scarlett Johansson
Captain Corelli's Mandolin,Drama,John Madden,Christian Bale
Captain Phillips,Biography,Paul Greengrass,Tom Hanks
Captive,Crime,Jerry Jameson,David Oyelowo
Caramel,Comedy,Nadine Labaki,Yasmine Al Massri
Caravans,Action,James Fargo,Christopher Lee
Cargo,Mystery,Ivan Engler,Yangzom Brauen
Carnage,Comedy,Roman Polanski,Kate Winslet
Carrie,Drama,Kimberly Peirce,Chloë Grace Moretz
Carrie,Drama,Kimberly Peirce,Chloë Grace Moretz
Carriers,Drama,David Pastor,Christopher Meloni
Cars,Adventure,John Lasseter,John Ratzenberger
Cars 2,Adventure,John Lasseter,Joe Mantegna
Casa de mi Padre,Comedy,Matt Piedmont,Will Ferrell
Casablanca,Drama,Michael Curtiz,Humphrey Bogart
Case 39,Horror,Christian Alvart,Bradley Cooper
Casino,Biography,Martin Scorsese,Robert De Niro
Casino Jack,Biography,George Hickenlooper,Kevin Spacey
Casino Royale,Action,Martin Campbell,Eva Green
Casino Royale,Action,Martin Campbell,Eva Green
Casper,Comedy,Brad Silberling,Eric Idle
Cast Away,Adventure,Robert Zemeckis,Tom Hanks
Cat on a Hot Tin Roof,Drama,Richard Brooks,Burl Ives
Cat People,Fantasy,Paul Schrader,Ed Begley Jr.
Cat People,Fantasy,Paul Schrader,Ed Begley Jr.
Catch a Fire,Biography,Phillip Noyce,Derek Luke
Catch Me If You Can,Biography,Steven Spielberg,Leonardo DiCaprio
Catch That Kid,Comedy,Bart Freundlich,Kristen Stewart
Catch-22,Comedy,Mike Nichols,Bob Newhart
Cats & Dogs,Action,Lawrence Guterman,Carol Ann Susi
Cats & Dogs: The Revenge of Kitty Galore,Action,Brad Peyton,Jack McBrayer
Cats Don't Dance,Animation,Mark Dindal,George Kennedy
Catwoman,Action,Pitof,Frances Conroy
Cavite,Thriller,Neill Dela Llana,Ian Gamazon
Cecil B. DeMented,Comedy,John Waters,Alicia Witt
Cedar Rapids,Comedy,Miguel Arteta,Kurtwood Smith
Celebrity,Comedy,Woody Allen,Melanie Griffith
Celeste & Jesse Forever,Comedy,Lee Toland Krieger,Ari Graynor
Cellular,Action,David R. Ellis,Richard Burgi
Censored Voices,Documentary,Mor Loushy,Amos Oz
Center Stage,Drama,Nicholas Hytner,Amanda Schull
Central Intelligence,Action,Rawson Marshall Thurber,Dwayne Johnson
Central Station,Drama,Walter Salles,Fernanda Montenegro
Centurion,Action,Neil Marshall,Michael Fassbender
Certifiably Jonathan,Comedy,James David Pasternak,Robin Williams
Chain Letter,Horror,Deon Taylor,Matt Cohen
Chain of Command,Action,Kevin Carraway,Michael Jai White
Chain Reaction,Action,Andrew Davis,Keanu Reeves
Chairman of the Board,Comedy,Alex Zamm,Taylor Negron
Changeling,Crime,Clint Eastwood,Angelina Jolie Pitt
Changing Lanes,Drama,Roger Michell,Sydney Pollack
Chappie,Action,Neill Blomkamp,Hugh Jackman
Character,Crime,Mike van Diem,Jan Decleir
Chariots of Fire,Biography,Hugh Hudson,Alice Krige
Charlie and the Chocolate Factory,Adventure,Tim Burton,Johnny Depp
Charlie Bartlett,Comedy,Jon Poll,Robert Downey Jr.
Charlie St. Cloud,Drama,Burr Steers,Augustus Prew
Charlie Wilson's War,Biography,Mike Nichols,Philip Seymour Hoffman
Charlie's Angels,Action,McG,Bill Murray
Charlie's Angels: Full Throttle,Action,McG,Demi Moore
Charlotte's Web,Comedy,Gary Winick,Steve Buscemi
Charly,Drama,Ralph Nelson,Cliff Robertson
Chasing Amy,Comedy,Kevin Smith,Matt Damon
Chasing Liberty,Comedy,Andy Cadiff,Annabella Sciorra
Chasing Liberty,Comedy,Andy Cadiff,Annabella Sciorra
Chasing Mavericks,Biography,Michael Apted,Gerard Butler
Chasing Papi,Comedy,Linda Mendoza,Carlos Ponce
Cheap Thrills,Comedy,E.L. Katz,Brighton Sharbino
Cheaper by the Dozen,Comedy,Shawn Levy,Tom Welling
Cheaper by the Dozen 2,Adventure,Adam Shankman,Taylor Lautner
Checkmate,Action,Timothy Woodward Jr.,Katrina Law
Chéri,Comedy,Stephen Frears,Tom Burke
Chernobyl Diaries,Horror,Bradley Parker,Jesse McCartney
Chiamatemi Francesco - Il Papa della gente,Biography,Daniele Luchetti,Maximilian Dirr
Chicago,Comedy,Rob Marshall,Colm Feore
Chicago Overcoat,Action,Brian Caunter,Mike Starr
Chicken Little,Adventure,Mark Dindal,Catherine O'Hara
Chicken Run,Adventure,Peter Lord,Imelda Staunton
Chicken Tikka Masala,Comedy,Harmage Singh Kalirai,Saeed Jaffrey
Child 44,Crime,Daniel Espinosa,Tom Hardy
Childless,Drama,Charlie Levi,Joe Mantegna
Children of Heaven,Drama,Majid Majidi,Bahare Seddiqi
Children of Men,Drama,Alfonso Cuarón,Charlie Hunnam
Child's Play,Fantasy,Tom Holland,Catherine Hicks
Child's Play 2,Fantasy,John Lafia,Jenny Agutter
Chill Factor,Action,Hugh Johnson,David Paymer
Chloe,Drama,Atom Egoyan,Liam Neeson
Chocolat,Drama,Lasse Hallström,Lena Olin
Chocolate: Deep Dark Secrets,Thriller,Vivek Agnihotri,Emraan Hashmi
Choke,Comedy,Clark Gregg,Anjelica Huston
Christmas Eve,Comedy,Mitch Davis,Gary Cole
Christmas Mail,Comedy,John Murlowski,Ashley Scott
Christmas with the Kranks,Comedy,Joe Roth,Jamie Lee Curtis
Chronicle,Drama,Josh Trank,Michael Kelly
Chuck & Buck,Comedy,Miguel Arteta,Lupe Ontiveros
Cinco de Mayo La Batalla,Drama,Rafa Lara,Jorge Luis Moreno
Cinderella,Drama,Kenneth Branagh,Hayley Atwell
Cinderella,Drama,Kenneth Branagh,Hayley Atwell
Cinderella Man,Biography,Ron Howard,Paddy Considine
Circle,Drama,Aaron Hann,Jordi Vilasuso
Circumstance,Drama,Maryam Keshavarz,Sarah Kazemy
Cirque du Freak: The Vampire's Assistant,Action,Paul Weitz,Josh Hutcherson
Cirque du Soleil: Worlds Away,Fantasy,Andrew Adamson,Dallas Barnett
City by the Sea,Crime,Michael Caton-Jones,Robert De Niro
City Hall,Drama,Harold Becker,Al Pacino
City Island,Comedy,Raymond De Felitta,Ezra Miller
City of Angels,Drama,Brad Silberling,Nicolas Cage
City of Ember,Adventure,Gil Kenan,Bill Murray
City of Ghosts,Crime,Matt Dillon,Kirk Fox
City of God,Crime,Fernando Meirelles,Alice Braga
City of Life and Death,Drama,Chuan Lu,Ye Liu
Civil Brand,Crime,Neema Barnette,Monica Calhoun
CJ7,Comedy,Stephen Chow,Jiao Xu
Clash of the Titans,Action,Louis Leterrier,Liam Neeson
Clash of the Titans,Action,Louis Leterrier,Liam Neeson
Class of 1984,Action,Mark L. Lester,Roddy McDowall
Clay Pigeons,Comedy,David Dobkin,Janeane Garofalo
Clean,Drama,Olivier Assayas,Maggie Cheung
Clear and Present Danger,Action,Phillip Noyce,Harrison Ford
Cleopatra,Biography,Joseph L. Mankiewicz,Martin Landau
Clerks,Comedy,Kevin Smith,Jason Mewes
Clerks II,Comedy,Kevin Smith,Ethan Suplee
Click,Comedy,Frank Coraci,Adam Sandler
Cliffhanger,Action,Renny Harlin,Sylvester Stallone
Clockstoppers,Action,Jonathan Frakes,Michael Biehn
Clockwatchers,Comedy,Jill Sprecher,Alanna Ubach
Close Encounters of the Third Kind,Drama,Steven Spielberg,Bob Balaban
Close Range,Action,Isaac Florentine,Anthony L. Fernandez
Closer,Drama,Mike Nichols,Natalie Portman
Closer to the Moon,Comedy,Nae Caranfil,Monica Barladeanu
Closure,Thriller,Dan Reed,Danny Dyer
Cloud Atlas,Drama,Tom Tykwer,Tom Hanks
Cloudy with a Chance of Meatballs,Animation,Phil Lord,Will Forte
Cloudy with a Chance of Meatballs 2,Animation,Cody Cameron,Will Forte
Cloverfield,Action,Matt Reeves,Mike Vogel
Club Dread,Comedy,Jay Chandrasekhar,Brittany Daniel
Clueless,Comedy,Amy Heckerling,Donald Faison
Coach Carter,Drama,Thomas Carter,Channing Tatum
Coal Miner's Daughter,Biography,Michael Apted,Sissy Spacek
Coco Before Chanel,Biography,Anne Fontaine,Alessandro Nivola
Code 46,Drama,Michael Winterbottom,Samantha Morton
Code Name: The Cleaner,Action,Les Mayfield,Callum Rennie
Code of Honor,Action,Michael Winnick,Scott Takeda
Coffee Town,Comedy,Brad Copeland,Sunil Narkar
Cold Mountain,Adventure,Anthony Minghella,Philip Seymour Hoffman
Collateral,Crime,Michael Mann,Tom Cruise
Collateral Damage,Action,Andrew Davis,Raymond Cruz
College,Comedy,Deb Hagan,Drake Bell
Colombiana,Action,Olivier Megaton,Jordi Mollà
Come Early Morning,Drama,Joey Lauren Adams,Tim Blake Nelson
Coming Home,Drama,Yimou Zhang,Li Gong
Commando,Action,Mark L. Lester,Bill Duke
Compadres,Action,Enrique Begne,Kevin Pollak
Compliance,Biography,Craig Zobel,Dreama Walker
Con Air,Action,Simon West,Steve Buscemi
Conan the Barbarian,Adventure,John Milius,William Smith
Conan the Barbarian,Adventure,John Milius,William Smith
Conan the Destroyer,Action,Richard Fleischer,Mako
Concussion,Biography,Peter Landesman,Will Smith
Confessions of a Dangerous Mind,Biography,George Clooney,Dick Clark
Confessions of a Teenage Drama Queen,Comedy,Sara Sugarman,Adam Garcia
Confidence,Crime,James Foley,Louis Lombardi
Congo,Action,Frank Marshall,Dylan Walsh
Connie and Carla,Comedy,Michael Lembeck,Debbie Reynolds
Conquest of the Planet of the Apes,Action,J. Lee Thompson,Roddy McDowall
Conspiracy Theory,Action,Richard Donner,Julia Roberts
Contact,Drama,Robert Zemeckis,Matthew McConaughey
Contagion,Drama,Steven Soderbergh,Matt Damon
Containment,Horror,Neil Mcenery-West,Walter Hendrix III
Contraband,Action,Baltasar Kormákur,J.K. Simmons
Control,Biography,Anton Corbijn,Sam Riley
Conversations with Other Women,Comedy,Hans Canosa,Olivia Wilde
Cool Runnings,Adventure,Jon Turteltaub,Doug E. Doug
Cop Land,Crime,James Mangold,Robert De Niro
Cop Out,Action,Kevin Smith,Bruce Willis
